Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
301,269.400,1147.600,264.000,974.600,616.900,1832.900,286.825,1157.077
302,275.300,1144.400,264.000,974.600,616.900,1832.900,281.062,1150.739
303,296.800,1103.800,264.000,974.600,616.900,1832.900,288.931,1127.269
304,289.500,1112.700,264.000,974.600,616.900,1832.900,289.216,1119.985
305,287.600,1087.500,264.000,974.600,616.900,1832.900,288.408,1103.742
306,286.300,1070.600,264.000,974.600,616.900,1832.900,287.354,1087.171
307,329.300,1159.000,264.000,974.600,616.900,1832.900,308.327,1123.086
308,345.200,1212.100,264.000,974.600,616.900,1832.900,326.763,1167.593
309,821.900,1361.800,264.000,974.600,821.900,1832.900,574.332,1264.696
310,285.900,1103.600,264.000,974.600,821.900,1832.900,430.116,1184.148
311,280.700,1088.700,264.000,974.600,821.900,1832.900,355.408,1136.424
312,276.700,1082.000,264.000,974.600,821.900,1832.900,316.054,1109.212
313,272.400,1085.100,264.000,974.600,821.900,1832.900,294.227,1097.156
314,276.600,1104.000,264.000,974.600,821.900,1832.900,285.413,1100.578
315,305.100,1178.900,264.000,974.600,821.900,1832.900,295.257,1139.739
316,301.000,1115.200,264.000,974.600,821.900,1832.900,298.128,1127.470
317,291.600,1166.800,264.000,974.600,821.900,1832.900,294.864,1147.135
318,352.400,1623.900,264.000,974.600,821.900,1832.900,323.632,1385.517
319,332.800,1169.900,264.000,974.600,821.900,1832.900,328.216,1277.709
320,299.000,1122.000,264.000,974.600,821.900,1832.900,313.608,1199.854
321,276.900,1135.700,264.000,974.600,821.900,1832.900,295.254,1167.777
322,285.400,1100.400,264.000,974.600,821.900,1832.900,290.327,1134.089
323,283.900,1075.200,264.000,974.600,821.900,1832.900,287.114,1104.644
324,284.400,1108.400,264.000,974.600,821.900,1832.900,285.757,1106.522
325,382.000,1116.600,264.000,974.600,821.900,1832.900,333.878,1111.561
326,281.300,1099.600,264.000,974.600,821.900,1832.900,307.589,1105.581
327,284.200,1143.600,264.000,974.600,821.900,1832.900,295.895,1124.590
328,349.100,1796.900,264.000,974.600,821.900,1832.900,322.497,1460.745
329,314.000,1115.700,264.000,974.600,821.900,1832.900,318.249,1288.223
330,281.300,1081.700,264.000,974.600,821.900,1832.900,299.774,1184.961
331,267.300,1090.500,264.000,974.600,821.900,1832.900,283.537,1137.731
332,277.800,1095.300,264.000,974.600,821.900,1832.900,280.669,1116.515
333,278.400,1094.800,264.000,974.600,821.900,1832.900,279.534,1105.658
334,276.700,1178.400,264.000,974.600,821.900,1832.900,278.117,1142.029
335,319.200,1124.800,264.000,974.600,821.900,1832.900,298.659,1133.414
336,294.500,1091.500,264.000,974.600,821.900,1832.900,296.579,1112.457
337,293.100,1197.800,264.000,974.600,821.900,1832.900,294.840,1155.129
338,348.600,1214.500,264.000,974.600,821.900,1832.900,321.720,1184.814
339,308.800,1118.600,264.000,974.600,821.900,1832.900,315.260,1151.707
340,291.200,1134.300,264.000,974.600,821.900,1832.900,303.230,1143.004
341,277.800,1180.200,264.000,974.600,821.900,1832.900,290.515,1161.602
342,280.300,1131.600,264.000,974.600,821.900,1832.900,285.407,1146.601
343,286.400,1128.300,264.000,974.600,821.900,1832.900,285.904,1137.450
344,368.800,1194.300,264.000,974.600,821.900,1832.900,327.352,1165.875
345,576.200,1131.500,264.000,974.600,821.900,1832.900,451.776,1148.688
346,297.100,1165.200,264.000,974.600,821.900,1832.900,374.438,1156.944
347,372.900,1249.900,264.000,974.600,821.900,1832.900,373.669,1203.422
348,582.000,1471.200,264.000,974.600,821.900,1832.900,477.834,1337.311
349,303.700,1148.700,264.000,974.600,821.900,1832.900,390.767,1243.005
350,295.100,1114.500,264.000,974.600,821.900,1832.900,342.934,1178.753
351,313.300,1139.800,264.000,974.600,821.900,1832.900,328.117,1159.276
352,291.900,1179.800,264.000,974.600,821.900,1832.900,310.008,1169.538
353,295.600,1126.900,264.000,974.600,821.900,1832.900,302.804,1148.219
354,286.600,1108.700,264.000,974.600,821.900,1832.900,294.702,1128.460
355,284.200,1091.400,264.000,974.600,821.900,1832.900,289.451,1109.930
356,308.900,1133.300,264.000,974.600,821.900,1832.900,299.176,1121.615
357,309.300,1160.300,264.000,974.600,821.900,1832.900,304.238,1140.957
358,284.900,1122.100,264.000,974.600,821.900,1832.900,294.569,1131.529
359,283.100,1127.600,264.000,974.600,821.900,1832.900,288.834,1129.564
360,280.900,1103.800,264.000,974.600,821.900,1832.900,284.867,1116.682
361,284.100,1168.100,264.000,974.600,821.900,1832.900,284.484,1142.391
362,311.900,1169.600,264.000,974.600,821.900,1832.900,298.192,1155.996
363,336.900,1210.300,264.000,974.600,821.900,1832.900,317.546,1183.148
364,315.900,1127.300,264.000,974.600,821.900,1832.900,316.723,1155.224
365,284.900,1114.500,264.000,974.600,821.900,1832.900,300.811,1134.862
366,289.800,1148.300,264.000,974.600,821.900,1832.900,295.306,1141.581
